table_name,layer,grain,description,vintage_policy
v_securities_transactions_latest,view,latest securities transaction,Latest completed securities-trade source snapshot,dynamic view
v_securities_daily_activity,view,date-currency-instrument-market-operation-venue,Daily transaction counts and local-currency volume aggregated from the latest securities snapshot,dynamic view
v_latest_raw_*,view,current source row,Latest valid raw vintage within each source,dynamic view
v_banks_*_documented,view,current bank panel row,Raw bank fields enriched with verified semantic dimensions,dynamic view
v_financial_*_documented,view,current finance-company panel row,Raw finance-company fields enriched with verified semantic dimensions,dynamic view
series_id_migration,governance,series identity mapping between two releases,Old-to-new series identity map with match method and evidence; the record that keeps prior research code reproducible,replaced for each recorded release pair
source_alias,governance,series alias,Superseded and source-specific identifiers resolving to a current series,rebuilt from the migration chain
continuity_map,governance,reviewed series continuity decision,Reviewed links between source fragments and a continuing series with overlap rule and evidence,reviewed configuration
table_reconciliation,quality,source worksheet and vintage,Numeric source cells reconciled against accepted observations and reviewed exclusions per worksheet,replaced for each deterministic release run
v_series_id_resolution,view,published series identifier,Resolves any identifier ever published to its current series or an explicit retirement,derived view
v_series_migration_summary,view,release pair and relationship,Counts of identity mappings by release pair relationship and match method,derived view
v_table_reconciliation,view,source worksheet and vintage,Reconciliation outcome joined to the review status of the worksheet,derived view
acquisition_contracts,governance,source,Forward collection retention provenance rights and use contract for every registered source,reviewed configuration
certification_rules,governance,rule and version,Versioned deterministic assurance rules with configuration hash,reviewed configuration
certification_decisions,governance,assurance decision,Append-only evidence-hashed automated or human assurance decisions,append only
rule_certified_series,canonical,source series,Current source series passing a deterministic semantic and reconciliation rule,rebuilt each release
dataset_catalog,canonical,source dataset,Current assurance disposition and use restrictions for every source,rebuilt each release
research.dataset_catalog,view,source dataset,Supported dataset discovery surface with assurance provenance limits and observation counts,dynamic view
research.series_catalog,view,research series,Supported scalar series catalogue with complete transformation metadata and assurance,dynamic view
research.observations_latest_actual,view,research series and normalized period,Latest realized certified scalar observations,dynamic view
research.observations_latest_statement,view,research series and normalized period,Latest certified publisher statement including observation status,dynamic view
research.entity_panel,view,entity-period-item-currency-measure,Collision-free bank and finance-company statement rows,dynamic view
research.events,view,event identity,Certified event-grain facts kept outside the scalar catalogue,dynamic view
research.curves,view,date-currency-rating-maturity,Structurally certified corporate-bond curve nodes,dynamic view
research.transactions,view,transaction,Structurally certified securities transactions,dynamic view
research.quality_flags,view,open scoped quality flag,Open quality flags for the active release,dynamic view
research.observations_as_of,macro,research series and normalized period,Certified scalar observations available by a caller-supplied cutoff,dynamic macro
